node,pos_x,pos_y,path_order,connection,connection_type,track_info,node_type,cluster
Rihanna,0.542707,0.391786,2,All Of The Lights  - Rihanna,created,Ookay: San Holo vs. Kanye West feat. Rihanna - All Of The Lights (Eskei83 Bootleg),artist,-1
All Of The Lights ,0.562639,0.388939,1,All Of The Lights  - Kanye West,created,Ookay: San Holo vs. Kanye West feat. Rihanna - All Of The Lights (Eskei83 Bootleg),track_basic,-1
Kanye West,0.525625,0.312176,2,All Of The Lights  - Kanye West,created,Ookay: San Holo vs. Kanye West feat. Rihanna - All Of The Lights (Eskei83 Bootleg),artist,-1
All Of The Lights ,0.562639,0.388939,1,All Of The Lights  - San Holo,created,Ookay: San Holo vs. Kanye West feat. Rihanna - All Of The Lights (Eskei83 Bootleg),track_basic,-1
San Holo,0.596959,0.460492,2,All Of The Lights  - San Holo,created,Ookay: San Holo vs. Kanye West feat. Rihanna - All Of The Lights (Eskei83 Bootleg),set_artist,1
All Of The Lights ,0.562639,0.388939,1,All Of The Lights  - Ookay,played,Ookay: San Holo vs. Kanye West feat. Rihanna - All Of The Lights (Eskei83 Bootleg),track_basic,-1
Ookay,0.536061,0.37073,2,All Of The Lights  - Ookay,played,Ookay: San Holo vs. Kanye West feat. Rihanna - All Of The Lights (Eskei83 Bootleg),set_artist,1
Waiting vs. Runaway ,0.434401,0.314399,1,Waiting vs. Runaway  - RL Grime,created & played,RL Grime: RL Grime & What So Not & Skrillex vs. Galantis & Dillon Francis - Waiting vs. Runaway (RL Grime Edit),track_basic,-1
RL Grime,0.459933,0.29647,2,Waiting vs. Runaway  - RL Grime,created & played,RL Grime: RL Grime & What So Not & Skrillex vs. Galantis & Dillon Francis - Waiting vs. Runaway (RL Grime Edit),set_artist,1
Waiting vs. Runaway ,0.434401,0.314399,1,Waiting vs. Runaway  - What So Not,created,RL Grime: RL Grime & What So Not & Skrillex vs. Galantis & Dillon Francis - Waiting vs. Runaway (RL Grime Edit),track_basic,-1
What So Not,0.393036,0.340101,2,Waiting vs. Runaway  - What So Not,created,RL Grime: RL Grime & What So Not & Skrillex vs. Galantis & Dillon Francis - Waiting vs. Runaway (RL Grime Edit),artist,-1
Waiting vs. Runaway ,0.434401,0.314399,1,Waiting vs. Runaway  - Galantis,created,RL Grime: RL Grime & What So Not & Skrillex vs. Galantis & Dillon Francis - Waiting vs. Runaway (RL Grime Edit),track_basic,-1
Galantis,0.445765,0.278193,2,Waiting vs. Runaway  - Galantis,created,RL Grime: RL Grime & What So Not & Skrillex vs. Galantis & Dillon Francis - Waiting vs. Runaway (RL Grime Edit),set_artist,1
Waiting vs. Runaway ,0.434401,0.314399,1,Waiting vs. Runaway  - Dillon Francis,created,RL Grime: RL Grime & What So Not & Skrillex vs. Galantis & Dillon Francis - Waiting vs. Runaway (RL Grime Edit),track_basic,-1
Dillon Francis,0.444554,0.348558,2,Waiting vs. Runaway  - Dillon Francis,created,RL Grime: RL Grime & What So Not & Skrillex vs. Galantis & Dillon Francis - Waiting vs. Runaway (RL Grime Edit),artist,-1
Waiting vs. Runaway ,0.434401,0.314399,1,Waiting vs. Runaway  - Skrillex,created,RL Grime: RL Grime & What So Not & Skrillex vs. Galantis & Dillon Francis - Waiting vs. Runaway (RL Grime Edit),track_basic,-1
Skrillex,0.486533,0.32473,2,Waiting vs. Runaway  - Skrillex,created,RL Grime: RL Grime & What So Not & Skrillex vs. Galantis & Dillon Francis - Waiting vs. Runaway (RL Grime Edit),artist,-1
Jungle Bae ,0.510437,0.31291,1,Jungle Bae  - DILLON FRANCIS,played,DILLON FRANCIS: Jack U* feat. Bunji Garlin - Jungle Bae (Acappella),track_basic,-1
DILLON FRANCIS,0.455825,0.356546,2,Jungle Bae  - DILLON FRANCIS,played,DILLON FRANCIS: Jack U* feat. Bunji Garlin - Jungle Bae (Acappella),set_artist,3
Jungle Bae ,0.510437,0.31291,1,Jungle Bae  - Afrojack,played,Afrojack: Jack U* feat. Bunji Garlin - Jungle Bae (Acappella),track_basic,-1
Afrojack,0.58438,0.33521,2,Jungle Bae  - Afrojack,played,Afrojack: Jack U* feat. Bunji Garlin - Jungle Bae (Acappella),set_artist,1
Jungle Bae ,0.510437,0.31291,1,Jungle Bae  - Bunji Garlin,created,DILLON FRANCIS: Jack U* feat. Bunji Garlin - Jungle Bae (Acappella),track_basic,-1
Bunji Garlin,0.483971,0.279787,2,Jungle Bae  - Bunji Garlin,created,DILLON FRANCIS: Jack U* feat. Bunji Garlin - Jungle Bae (Acappella),artist,-1
Jungle Bae ,0.510437,0.31291,1,Jungle Bae  - Jack U*,created,DILLON FRANCIS: Jack U* feat. Bunji Garlin - Jungle Bae (Acappella),track_basic,-1
Jack U*,0.505312,0.270566,2,Jungle Bae  - Jack U*,created,DILLON FRANCIS: Jack U* feat. Bunji Garlin - Jungle Bae (Acappella),artist,-1
Stupid,0.518444,0.0992729,1,Stupid - Madeon,created & played,Madeon: Madeon - Stupid,track_basic,-1
Madeon,0.518838,0.155078,2,Stupid - Madeon,created & played,Madeon: Madeon - Stupid,set_artist,7
Chase and Status,0.0867534,0.564935,1,Chase and Status - Tribes,played,Chase and Status: Chase & Status - Tribes,set_artist,1
Tribes,0.133177,0.548099,2,Chase and Status - Tribes,played,Chase and Status: Chase & Status - Tribes,track_basic,-1
Chase and Status,0.0867534,0.564935,1,Chase and Status - This Moment,played,Chase and Status: Chase & Status & Blossoms - This Moment,set_artist,1
This Moment,0.127465,0.551737,2,Chase and Status - This Moment,played,Chase and Status: Chase & Status & Blossoms - This Moment,track_basic,-1
Chase and Status,0.0867534,0.564935,1,Chase and Status - Step Up,played,Chase and Status: DC Breaks - Step Up,set_artist,1
Step Up,0.0364288,0.583926,2,Chase and Status - Step Up,played,Chase and Status: DC Breaks - Step Up,track_basic,-1
GD,0.463053,0.36032,1,GD - ID,created,Showtek: Showtek feat. GD - ID,artist,-1
ID,0.509231,0.357649,2,GD - ID,created,Showtek: Showtek feat. GD - ID,track_basic,-1
Ms. Jackson,0.625223,0.121773,1,Ms. Jackson - Gryffin,played,Gryffin: Party Pupils - Ms. Jackson,track_basic,-1
Gryffin,0.593196,0.194038,2,Ms. Jackson - Gryffin,played,Gryffin: Party Pupils - Ms. Jackson,set_artist,1
Ms. Jackson,0.625223,0.121773,1,Ms. Jackson - Party Pupils,created,Gryffin: Party Pupils - Ms. Jackson,track_basic,-1
Party Pupils,0.64875,0.0705319,2,Ms. Jackson - Party Pupils,created,Gryffin: Party Pupils - Ms. Jackson,artist,-1
Technologic,0.568348,0.233395,1,Technologic - Daft Punk,created,Madeon: Daft Punk - Technologic,track_basic,-1
Daft Punk,0.535197,0.214426,2,Technologic - Daft Punk,created,Madeon: Daft Punk - Technologic,artist,-1
Technologic,0.568348,0.233395,1,Technologic - Ephwurd,played,Ephwurd: Daft Punk - Technologic,track_basic,-1
Ephwurd,0.608173,0.332616,2,Technologic - Ephwurd,played,Ephwurd: Daft Punk - Technologic,set_artist,1
Technologic,0.568348,0.233395,1,Technologic - Madeon,played,Madeon: Daft Punk - Technologic,track_basic,-1
Madeon,0.518838,0.155078,2,Technologic - Madeon,played,Madeon: Daft Punk - Technologic,set_artist,7
